repo_name,primary_category,primary_category_key,industry_1,industry_2,capability_tags,maturity,status,repository_type
open-london-3d-showcase,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Geospatial & Smart Cities,Transportation,"3D Visualization,Urban Digital Twin,Navigation,OpenStreetMap,WebGIS,MapLibre,Three.js",beta,active,demo
open-london-3d-drive,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Geospatial & Smart Cities,Transportation,"3D Visualization,Urban Digital Twin,Navigation,OpenStreetMap,Python Pipeline,Docker",beta,active,implementation
nexustwin-industrial-digital-twin,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Manufacturing,Energy & Utilities,"Digital Twin,IoT,3D Visualization,AI,VR,Predictive Maintenance",beta,active,demo
circato-ocean-plastic-tfw-dashboard,Climate & Sustainability,climate-environment-sustainability,Climate & Environment,Marine & Circular Economy,"Ocean Intelligence,Plastic Tracking,Dashboard,Geospatial,Circular Economy,Environmental",beta,active,demo
royal-biryani,Enterprise & Decision Intelligence,enterprise-applications-decision-intelligence,Enterprise,—,"3D Visualization,Restaurant,Landing Page,Interactive,Three.js",prototype,active,demo
factory-bim,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Manufacturing,Construction & Infrastructure,"BIM,3D Visualization,Industrial,Factory,Three.js,Digital Twin",prototype,active,demo
car-concept-3d-dashboard,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Transportation,Manufacturing,"3D Visualization,Automotive,Sketchfab,Material Variants,Interactive,Three.js",prototype,active,demo
guntur-change-detection-dashboard,GeoAI & Earth Intelligence,geoai-earth-intelligence,Geospatial & Smart Cities,Climate & Environment,"Change Detection,Satellite Imagery,Urban Analytics,Remote Sensing,Dashboard,Geospatial",prototype,active,demo
3d-gis-globe,GeoAI & Earth Intelligence,geoai-earth-intelligence,Geospatial & Smart Cities,Government,"3D GIS,Globe,Earthquake Data,Geospatial,Live Data,Three.js",prototype,active,demo
metro-station-simulator,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Transportation,Construction & Infrastructure,"Metro,Simulation,Agent-Based,Passenger Flow,Emergency Evacuation,Three.js",prototype,active,demo
stadium-digital-twin,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Construction & Infrastructure,Enterprise,"Digital Twin,Stadium,3D Visualization,IoT,Sensor Simulation,Three.js",prototype,active,demo
seaplane-outpost-showcase,Physical AI & Engineering,physical-ai-engineering,Defence & Aerospace,Transportation,"Seaplane,Hydrodynamics,Infrastructure,Engineering,Simulation,3D Visualization",concept,active,demo
vlm-aerodynamics-demo,Physical AI & Engineering,physical-ai-engineering,Defence & Aerospace,Transportation,"Aerodynamics,VLM,Simulation,Wing Design,Physics AI,Three.js",prototype,active,demo
geovision-pro-showcase,Computer Vision & Visual Intelligence,computer-vision-visual-intelligence,Geospatial & Smart Cities,Government,"Geospatial,Vision,Remote Sensing,Earth Observation,Imagery Analysis",prototype,active,demo
nefertiti-viewer,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Government,Enterprise,"3D Reconstruction,Cultural Heritage,Photogrammetry,PBR,WebGL,GLB",prototype,active,demo
sponza-viewer,Digital Twins & Spatial Intelligence,digital-twins-spatial-intelligence,Construction & Infrastructure,Enterprise,"WebGPU,PBR,Real-time Rendering,3D Graphics,Architectural Viz,GLTF",prototype,active,demo
salesflow-crm-showcase,Enterprise & Decision Intelligence,enterprise-applications-decision-intelligence,Enterprise,—,"CRM,Sales,Pipeline Management,AI Assistant,Slack,Dashboard",beta,active,demo
salesflow-crm-deploy,Enterprise & Decision Intelligence,enterprise-applications-decision-intelligence,Enterprise,—,"CRM,Backend,FastAPI,SQLite,Slack,AI Engine",beta,active,implementation
