repo_name,repo_url,description,primary_language,size_kb,default_branch,has_pages,pages_url,has_readme,has_license,root_files,last_updated,classification_status
open-london-3d-showcase,https://github.com/studio-public-demos/open-london-3d-showcase,"Open London 3D Drive: Urban Digital Twin Showcase",HTML,1893,gh-pages,TRUE,https://studio-public-demos.github.io/open-london-3d-showcase/,TRUE,TRUE,8,2026-08-04,classified
open-london-3d-drive,https://github.com/studio-public-demos/open-london-3d-drive,"Open London 3D Drive — implementation repository (private)",Python,300,feature/open-london-3d-drive,FALSE,—,TRUE,FALSE,12,2026-08-04,classified
nexustwin-industrial-digital-twin,https://github.com/studio-public-demos/nexustwin-industrial-digital-twin,"Web-native industrial digital twin platform — real UCI data, 3D visualization, AI predictive maintenance, VR ready",—,3062,master,TRUE,https://studio-public-demos.github.io/nexustwin-industrial-digital-twin/,TRUE,TRUE,4,2026-08-01,classified
circato-ocean-plastic-tfw-dashboard,https://github.com/studio-public-demos/circato-ocean-plastic-tfw-dashboard,"Interactive evidence package for ocean-bound MLP waste repurposing",—,1019,main,TRUE,https://studio-public-demos.github.io/circato-ocean-plastic-tfw-dashboard/,TRUE,TRUE,6,2026-08-01,classified
royal-biryani,https://github.com/studio-public-demos/royal-biryani,"Royal Biryani — Authentic Dum Biryani Restaurant Landing Page with interactive 3D hero scene",JavaScript,744,main,TRUE,https://studio-public-demos.github.io/royal-biryani/,TRUE,TRUE,14,2026-07-30,classified
factory-bim,https://github.com/studio-public-demos/factory-bim,"Interactive 3D Building Information Model (BIM) viewer for an industrial factory complex",HTML,661,main,TRUE,https://studio-public-demos.github.io/factory-bim/,TRUE,TRUE,7,2026-08-01,classified
car-concept-3d-dashboard,https://github.com/studio-public-demos/car-concept-3d-dashboard,"Interactive 3D car concept dashboard with Sketchfab model, material variants, animated parts",HTML,9781,main,TRUE,https://studio-public-demos.github.io/car-concept-3d-dashboard/,TRUE,TRUE,7,2026-08-01,classified
guntur-change-detection-dashboard,https://github.com/studio-public-demos/guntur-change-detection-dashboard,"Interactive geospatial dashboard visualizing building-level change detection across Guntur, India",HTML,1785,main,TRUE,https://studio-public-demos.github.io/guntur-change-detection-dashboard/,TRUE,TRUE,6,2026-08-01,classified
3d-gis-globe,https://github.com/studio-public-demos/3d-gis-globe,"Interactive 3D GIS globe with live earthquake data",HTML,1629,main,TRUE,https://studio-public-demos.github.io/3d-gis-globe/,TRUE,TRUE,9,2026-08-01,classified
metro-station-simulator,https://github.com/studio-public-demos/metro-station-simulator,"Interactive 3D metro station simulation with agent-based passenger flow and emergency evacuation",HTML,92,main,TRUE,https://studio-public-demos.github.io/metro-station-simulator/,TRUE,TRUE,6,2026-08-01,classified
stadium-digital-twin,https://github.com/studio-public-demos/stadium-digital-twin,"Interactive 3D stadium digital twin dashboard with live sensor simulation",HTML,2255,main,TRUE,https://studio-public-demos.github.io/stadium-digital-twin/,TRUE,TRUE,6,2026-08-01,classified
seaplane-outpost-showcase,https://github.com/studio-public-demos/seaplane-outpost-showcase,"Seaplane outpost engineering showcase",HTML,108646,master,TRUE,https://studio-public-demos.github.io/seaplane-outpost-showcase/,TRUE,FALSE,4,2026-08-01,classified
vlm-aerodynamics-demo,https://github.com/studio-public-demos/vlm-aerodynamics-demo,"VLM Aerodynamics — Interactive 3D wing simulator",HTML,467,master,TRUE,https://studio-public-demos.github.io/vlm-aerodynamics-demo/,TRUE,FALSE,5,2026-08-01,classified
geovision-pro-showcase,https://github.com/studio-public-demos/geovision-pro-showcase,"GeoVision Pro — geospatial showcase",HTML,228,master,TRUE,https://studio-public-demos.github.io/geovision-pro-showcase/,TRUE,FALSE,4,2026-08-01,classified
nefertiti-viewer,https://github.com/studio-public-demos/nefertiti-viewer,"3D Monument Viewer - Interactive visualization of the Bust of Nefertiti",HTML,1512,main,TRUE,https://studio-public-demos.github.io/nefertiti-viewer/,TRUE,FALSE,4,2026-08-01,classified
sponza-viewer,https://github.com/studio-public-demos/sponza-viewer,"Sponza Atrium 3D viewer",HTML,43006,main,TRUE,https://studio-public-demos.github.io/sponza-viewer/,TRUE,FALSE,6,2026-08-01,classified
salesflow-crm-showcase,https://github.com/studio-public-demos/salesflow-crm-showcase,"AI-Powered Sales CRM — Pipeline Management, Deal Insights, Slack Alerts & AI Sales Assistant",—,448,master,FALSE,—,TRUE,TRUE,4,2026-07-30,classified
salesflow-crm-deploy,https://github.com/studio-public-demos/salesflow-crm-deploy,"SalesFlow CRM deployment — FastAPI + SQLite",HTML,19,master,FALSE,—,FALSE,FALSE,8,2026-07-30,classified
studio-public-demos,https://github.com/studio-public-demos/studio-public-demos,"Duplicate repo — old portfolio showcase",HTML,—,main,TRUE,https://studio-public-demos.github.io/studio-public-demos/,TRUE,FALSE,—,2026-08-06,duplicate
studio-public-demos.github.io,https://github.com/studio-public-demos/studio-public-demos.github.io,"Central catalogue — org-level GitHub Pages",HTML,—,main,TRUE,https://studio-public-demos.github.io/,TRUE,FALSE,10,2026-08-06,catalogue
agentic-ai-autonomous-workflows,https://github.com/studio-public-demos/agentic-ai-autonomous-workflows,"Category placeholder: Agentic AI & Autonomous Workflows",—,0,—,FALSE,—,FALSE,FALSE,0,2026-08-06,placeholder
physical-ai-engineering,https://github.com/studio-public-demos/physical-ai-engineering,"Category placeholder: Physical AI & Engineering",—,0,—,FALSE,—,FALSE,FALSE,0,2026-08-06,placeholder
